"","entry_nr","entry_date","entry_id","tournament","url","player","placement","character"
"128205",1173,2019-09-21,"1173-1","SKL Invitacional Otono 2019 ",NA," FCQ ",7,"Young Link"
"128211",1174,2019-09-22,"1174-1","Ozhadou Nationals 16 ","https://smash.gg/tournament/ozhadou-nationals-16/events/super-smash-bros-ultimate/standings
"," Jdizzle ",2,"Young Link"
"128239",1175,2019-09-22,"1175-1","Overclocked Ultimate III ","https://smash.gg/tournament/overclocked-ultimate-iii/events/ultimate-singles/standings
"," Pugwest ",3,"Young Link"
"128280",1177,2019-09-23,"1177-1","Mainstage 2019 ",NA," Zan ",5,"Young Link"
"128296",1181,2019-09-27,"1181-1","GatorLAN Fall 2019 ","https://smash.gg/tournament/gatorla...-bros-ultimate-singles/brackets/593908/987897
"," Ross ",4,"Young Link"
"128393",1187,2019-09-29,"1187-2","SOLARY CIRCUIT: Etape 5 - Isula Gamefest ","https://smash.gg/tournament/solary-...ents/ultimate-singles/brackets/667148/1091589 
"," Leon ",4,"Young Link"
"128459",1191,2019-09-29,"1191-1","REV Major 2019 ",NA," Godz ",3,"Young Link"
"128476",1193,2019-09-30,"1193-1","Ultimate Untag Gaming #1 ","https://mobile.twitter.com/UntagFR/status/1176191910949662720https://smash.gg/tournament/ultimat...ash-ultimate-orleans/brackets/656091/1074667/1. "," Leon ",3,"Young Link"
"128508",1200,2019-10-02,"1200-1","Blink Fighting Fest 2019 ","https://smash.gg/tournament/blink-fighting-fest-2019/events/super-smash-bros-ultimate/overview
"," Chazz ",9,"Young Link"
"128563",1205,2019-10-06,"1205-1","Bergen Open Series ","https://smash.gg/tournament/bergen-open-smash-series/events/ultimate-singles/overview
"," Lirnesu ",3,"Young Link"
"128623",1208,2019-10-06,"1208-1","Ultimate Fighting Arena 2019 ","https://smash.gg/tournament/ultimat...single-1vs1/brackets/611817/1011760/standings
"," Felker ",9,"Young Link"
"128671",1210,2019-10-07,"1210-1","The Big House 9 ",NA," Toast ",3,"Young Link"
"128701",1211,2019-10-07,"1211-1","The Big House 9 ","https://smash.gg/tournament/the-big-house-9/events/ultimate-singles/brackets/671292/1097219
"," Tweek ",5,"Young Link"
"128737",1211,2019-10-07,"1211-1","The Big House 9 ","https://smash.gg/tournament/the-big-house-9/events/ultimate-singles/brackets/671292/1097219
"," Toast ",3,"Young Link"
"128815",1217,NA,"1217-1","Unpunishable V ","https://smash.gg/tournament/unpunishable-v-noggin-floggin/events/ultimate-singles/standings
"," Farko ",7,"Young Link"
"128854",1218,NA,"1218-2","Platinum Star Smash Season 4 ","https://smash.gg/tournament/platinum-star-smash-s4-e1-nj-ultimate-monthly/details
"," Biddy ",7,"Young Link"
"129015",15,2018-12-10,"15-4","Arkham's Smash Ultimate Launch ","https://smash.gg/tournament/arkham-s-smash-ultimate-launch/events/singles/brackets/479352/839481
"," Ty ",3,"Toon Link"
"129161",26,2018-12-16,"26-1","Ultimate ARFI ","https://smash.gg/tournament/austin-...ltimate/events/singles/brackets/481354/842047
"," Jerma ",5,"Toon Link"
"129207",30,2018-12-16,"30-1","Delfino Razzia Ultimate ",NA," Mana ",4,"Toon Link"
"129213",31,2018-12-16,"31-1","Don't Park on the Grass 2018 ",NA," JTails ",5,"Toon Link"
"129366",45,2018-12-20,"45-1","Ultimate Collision ",NA," Vulcan ",3,"Toon Link"
"129369",49,2018-12-22,"49-1","Smash Mania 2 ","https://challonge.com/xdulz5ah
"," Hyuga ",2,"Toon Link"
"129512",56,2018-12-23,"56-3","Pixelpokal Winter 2018 ","https://smash.gg/tournament/pixelpokal-winter-2018/events/ultimate-singles/brackets/483504/844877
"," Dekustrike ",5,"Toon Link"
"129670",82,2018-12-30,"82-1","Midwest Mayhem Ultimate ","https://smash.gg/tournament/midwest-mayhem-ultimate/events/ultimate-singles/standings
"," SVP ",5,"Toon Link"
"129766",92,2018-12-31,"92-1","Ultimatum 1 ","https://smash.gg/tournament/ultimat...mash-bros-ultimate-1v1/brackets/492233/855382
"," iiGGY ",5,"Toon Link"
"129793",99,2019-01-02,"99-1","OVA X ""ULTIMATE WAR / GET READY ","https://smash.gg/tournament/ova-x-ultimate-war-get-ready/events/ultimate-singles/overview
"," - Hyuga - ",3,"Toon Link"
"129841",106,2019-01-02,"106-1","NYE Smash ","https://smash.gg/tournament/nye-smash-1k-gtd-prize-pool/event/ultimate/entrant/2423201
"," - Boat - ",3,"Toon Link"
"130015",132,2019-01-05,"132-2","SoCal Chronicles ","https://smash.gg/tournament/socal-chronicles-1/events/ultimate-singles/brackets/427685/777589
"," Zan ",5,"Toon Link"
"130053",137,2019-01-06,"137-1","Sumabato SP 1 ","https://challonge.com/SumabatoSP1T
"," Hayato. ",5,"Toon Link"
"130054",137,2019-01-06,"137-1","Sumabato SP 1 ","https://challonge.com/SumabatoSP1T
"," Sigma ",7,"Toon Link"
"130058",137,2019-01-06,"137-1","Sumabato SP 1 ","https://challonge.com/SumabatoSP1T
"," Ri-ma ",9,"Toon Link"
"130245",169,2019-01-11,"169-1","weds-night-fights-x-oakland s2e2 ","https://smash.gg/tournament/weds-night-fights-x-oakland-2019-s2ep02/events/smash-ultimate/overview
"," 3xA ",7,"Toon Link"
"130362",178,2019-01-12,"178-2","Karisuma SP1 ","https://challonge.com/KarisumaSP1
"," Sigma ",3,"Toon Link"
"130388",179,2019-01-12,"179-1","Orbitar 63 ",NA," SmashBrosFan16 ",3,"Toon Link"
"130620",201,2019-01-14,"201-2",NA,"https://imgur.com/a/TKN9s8G
"," - ",4,"Toon Link"
"130721",221,2019-01-17,"221-1","Ultimate Shockwave 6 ","https://smash.gg/tournament/ultimate-shockwave-6/events/ultimate-singles/standings
"," Jerm ",7,"Toon Link"
"130798",226,2019-01-18,"226-1","Otaku Zone Season 1 Week 3 ","https://smash.gg/tournament/otaku-zone-season-1-week-3/events/singles/standings
"," Jerm ",4,"Toon Link"
"131011",249,2019-01-20,"249-1","LAN King Weekly 1/15/19 ","https://smash.gg/tournament/lan-king-weeklies/events/smash-ultimate-singles/brackets/515212/882345
"," Death Arcana ",5,"Toon Link"
"131214",264,2019-01-21,"264-1","OVA XI: Factor Crema ","https://smash.gg/tournament/ova-xi-factor-crema-ft-nakat/events/ultimate-singles/standings
"," Hyuga ",3,"Toon Link"
"131457",286,2019-01-27,"286-1","Ultimate TGL #1 ",NA," Winds Requiem ",7,"Toon Link"
"131493",293,2019-01-28,"293-1","Smash Fest Ultimate ","https://smash.gg/tournament/smash-fest-ultimate/events/singles-ultimate/brackets/521271/890024
"," Hyuga ",3,"Toon Link"
"131564",302,2019-01-30,"302-1","Smash Ultimate på Work Work 1 ","https://smashtrondheim.challonge.com/SUWW1/standings
"," ",5,"Toon Link"
"131568",306,2019-02-02,"306-1","Sumabato SP 2 ","https://challonge.com/SumabatoSP2T
"," Sigma ",4,"Toon Link"
"131639",311,2019-02-03,"311-1","MECHA ","https://smash.gg/tournament/mecha/events/singles/brackets/515972/883269
"," Das ",9,"Toon Link"
"131770",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
"," 3xa ",7,"Toon Link"
"132022",380,2019-02-13,"380-2","Amphisbaena Cup #3 ","https://challonge.com/ja/g0ry5fp9
"," Sigma ",1,"Toon Link"
"132046",395,2019-02-16,"395-1","Gameworks Ultimate #11 ","https://smash.gg/tournament/gameworks-ultimate-11/events/gameworks-ultimate-10/standings
"," ",6,"Toon Link"
"132111",426,2019-02-18,"426-1","Evergreen Rising 6 ",NA," Smashbrosfan16 ",7,"Toon Link"
"132160",486,2019-02-24,"486-2",NA,"https://smash.gg/tournament/ascension-ii/events/ultimate-singles/brackets/522966/892296
"," SS ",2,"Toon Link"
"132198",495,2019-02-24,"495-1","Calyptus Cup Inkstrike ",NA," Tsuna ",3,"Toon Link"
"132357",510,2019-02-27,"510-1","Toer Tier Tuesday ","https://smash.gg/tournament/top-tie...mate-singles/brackets/546822/924701/standings
"," ",7,"Toon Link"
"132379",533,2019-03-02,"533-1","Orbitar 66 ","https://smash.gg/tournament/orbitar...sortBy=&filter={""search"":{""searchString"":""""}}
"," ",6,"Toon Link"
"132392",541,2019-03-02,"541-1","Bit Master Mty 2nd Strike ",NA," Ang ",7,"Toon Link"
"132406",553,2019-03-03,"553-1","Polybash 2019 ",NA," Xcal ",3,"Toon Link"
"132550",599,2019-03-10,"599-1","Return to Subspace 2 ",NA," kev_aROS ",3,"Toon Link"
"132738",700,2019-03-18,"700-1","Esports Arena Smash Ultimate Tournament ","https://smash.gg/tournament/esports...ressive/events/singles/brackets/558899/940146
"," 3xA ",7,"Toon Link"
"133099",814,2019-04-07,"814-1","Kawaii Kon 2019 ","https://smash.gg/tournament/kawaii-...gles-kkon19-main-event/brackets/550042/928754
"," Snappy ",9,"Toon Link"
"133462",842,2019-04-22,"842-1","Pound 2019 ","https://smash.gg/tournament/pound-2019/events/ultimate-singles/brackets/571619/957801
"," Buzz ",9,"Toon Link"
"133467",844,2019-04-22,"844-1","Ragnarok ",NA," Hyuga ",5,"Toon Link"
"133573",859,2019-04-28,"859-1","/27/18) ","https://smash.gg/tournament/ncs-min...nts/colorado-smashdown/brackets/581902/971254
"," Fabian ",7,"Toon Link"
"133693",871,2019-05-02,"871-1",NA,"https://smash.gg/tournament/japanmajor2019-umebura-japanmajor2019-1/events/singles/overviewhttps://twitter.com/juddy_96/status/1123867246122733570
"," Ri-ma ",7,"Toon Link"
"133701",871,2019-05-02,"871-1",NA,"https://smash.gg/tournament/japanmajor2019-umebura-japanmajor2019-1/events/singles/overviewhttps://twitter.com/juddy_96/status/1123867246122733570
"," Sigma ",3,"Toon Link"
"133750",873,2019-05-02,"873-1",NA,NA," Lv.1 ",9,"Toon Link"
"134024",896,2019-05-12,"896-3","AGON-Serie - Steal My Heart ","https://smash.gg/tournament/agon-se...-bros-ultimate-singles/brackets/574132/961475
"," Kunai Kazekun ",4,"Toon Link"
"134156",909,2019-05-18,"909-1","Karisuma SP 2 ",NA," Sigma ",4,"Toon Link"
"134419",932,2019-05-26,"932-1","Sumabato SP 4 ","https://challonge.com/SumabatoSP4T
"," Ri-ma ",5,"Toon Link"
"134792",948,2019-06-04,"948-1","Gwinnett Brawl June 2019 ","https://smash.gg/tournament/gwinnet...pokken/events/smash-ultimate-singles/overview
"," Masamune ",7,"Toon Link"
"135134",985,2019-06-17,"985-1","Massilia Spring Smash ",NA," Mana ",3,"Toon Link"
"135140",986,2019-06-17,"986-1","We Tec Those 9 ","https://smash.gg/tournament/wetecthose-9/events/ultimate-singles/overview
"," Hyuga ",5,"Toon Link"
"135159",987,2019-06-22,"987-1","Sumabato SP 5 ","https://challonge.com/sumabatosp5t
"," Lv.1 ",7,"Toon Link"
"135160",987,2019-06-22,"987-1","Sumabato SP 5 ","https://challonge.com/sumabatosp5t
"," Sigma ",9,"Toon Link"
"135176",987,2019-06-22,"987-1","Sumabato SP 5 ","https://challonge.com/sumabatosp5t
"," Ri-ma ",5,"Toon Link"
"135304",1004,2019-06-29,"1004-1","Game Nest Smash it Up #29 ","https://vegassmash.challonge.com/de/SIU_29 
"," Z (",7,"Toon Link"
"135490",1012,2019-06-30,"1012-1",NA,NA,"	Ross  	",9,"Toon Link"
"135521",1012,2019-06-30,"1012-1",NA,NA,"	Masamune 	",9,"Toon Link"
"135554",1014,2019-07-02,"1014-1","Tournament Arc: Spring 2019 ",NA," Sno ",7,"Toon Link"
"135569",1017,2019-07-06,"1017-1","Karisuma SP 3 ","https://challonge.com/KarisumaSP3T
"," Sigma ",3,"Toon Link"
"135717",1025,2019-07-13,"1025-1","Sumabato SP 6 ","https://challonge.com/SumabatoSP6T
"," Rizeasu ",5,"Toon Link"
"135741",1025,2019-07-13,"1025-1","Sumabato SP 6 ","https://challonge.com/SumabatoSP6T
"," Ri-ma ",5,"Toon Link"
"135898",1037,2019-07-15,"1037-1","2GG: Breakthrough 2019 ","https://smash.gg/tournament/2gg-bre...ents/ultimate-singles/brackets/615075/1016213
"," Linky ",3,"Toon Link"
"136160",1067,2019-07-29,"1067-1","Smash Factor 8 ","https://smash.gg/tournament/smash-factor-8/events/ultimate-singles/brackets/613055/1013438
"," Hyuga ",9,"Toon Link"
"136375",1075,2019-08-05,"1075-1","EVO 2019 ","https://smash.gg/tournament/evo-2019/events/super-smash-bros-ultimate/standings
"," Death Arcana ",7,"Toon Link"
"136608",1090,2019-08-12,"1090-1","Sumabato SP 7 ","https://challonge.com/sumabatoSP7T
"," Sigma ",5,"Toon Link"
"136680",1097,2019-08-17,"1097-1","Umebura SP 4 ","https://smash.gg/tournament/sp4-umebura-sp4-2/events/singles/standings
"," Ri-ma ",3,"Toon Link"
"136690",1097,2019-08-17,"1097-1","Umebura SP 4 ","https://smash.gg/tournament/sp4-umebura-sp4-2/events/singles/standings
"," Sigma ",5,"Toon Link"
"136696",1097,2019-08-17,"1097-1","Umebura SP 4 ","https://smash.gg/tournament/sp4-umebura-sp4-2/events/singles/standings
"," Lv.1 ",5,"Toon Link"
"137110",1143,2019-09-08,"1143-1","Dreamhack Montreal 2019 ","https://smash.gg/tournament/dreamhack-montreal-2019/events/super-smash-bros-ultimate/standings
"," Xcal ",5,"Toon Link"
"137278",1165,2019-09-15,"1165-1","Sumabato SP 8 ","https://challonge.com/de/SumabatoSP8T
"," Sigma",9,"Toon Link"
"137370",1169,2019-09-18,"1169-1","Toryumon Kiwami #36 ",NA," Manzoku ",3,"Toon Link"
"137468",1177,2019-09-23,"1177-1","Mainstage 2019 ",NA," Pandarian ",3,"Toon Link"
"137487",1177,2019-09-23,"1177-1","Mainstage 2019 ",NA," Zan ",5,"Toon Link"
"137544",1182,2019-09-28,"1182-1","Umebura SP 5 ","https://smash.gg/tournament/sp5-umebura-sp5/events/singles/standings
"," Sigma ",5,"Toon Link"
"137574",1185,2019-09-28,"1185-1","Retro Rumble 2019 ","https://smash.gg/tournament/retro-rumble-2019-2/events/super-smash-bros-ultimate-singles/standings
"," kev_aROS ",9,"Toon Link"
"137610",1189,2019-09-29,"1189-1","KVO Resort ","https://smash.gg/tournament/kvo-resort-2019/events/smash-sp-singles/overview
"," Ri-ma ",5,"Toon Link"
"137625",1189,2019-09-29,"1189-2","Kamishima #5 ","https://challonge.com/ja/KamishimaSP5
"," Starl ",5,"Toon Link"
"137764",1204,2019-10-06,"1204-1","River Rumble ",NA," Muse ",3,"Toon Link"
"137863",1210,2019-10-07,"1210-1","The Big House 9 ",NA," Wishes ",7,"Toon Link"
"137920",1211,2019-10-07,"1211-1","The Big House 9 ","https://smash.gg/tournament/the-big-house-9/events/ultimate-singles/brackets/671292/1097219
"," Wishes ",7,"Toon Link"
"138115",3,2018-12-08,"3-1","RPL Ultimate Tournament ","https://smash.gg/tournament/rpl-ultimate-tournament/events/ultimate-singles/overview
"," Sn0w ",2,"Link"
"138167",12,2018-12-09,"12-2","ConComics 2018 Diciembre ","https://smash.gg/tournament/cc-2018-diciembre/events/ultimate-singles/brackets/479397/839571
"," Bernie ",2,"Link"
"138283",19,2018-12-13,"19-1","Toryumon Kiwami 1 ",NA," T ",4,"Link"
"138360",25,2018-12-15,"25-1","Julesmash 2018 ","https://smashtrondheim.challonge.com/julesmash2018ultimate
"," J for Jonas ",5,"Link"
"138362",25,2018-12-15,"25-1","Julesmash 2018 ","https://smashtrondheim.challonge.com/julesmash2018ultimate
"," Nanite ",7,"Link"
"138487",38,2018-12-17,"38-1","Saturn Ultimate Impact ",NA," Otakuni ",4,"Link"
"138488",39,2018-12-18,"39-1","Wanted 16 ","https://smash.gg/tournament/wanted-...on-des-heros/brackets/479354/839483/standings
"," Otakuni ",1,"Link"
"138499",40,2018-12-18,"40-2","Tampa Never Sleeps Ultimate ","https://smash.gg/tournament/tns-sma...er-smash-bros-ultimate/brackets/483430/844749
"," Manny ",3,"Link"
"138518",41,2018-12-18,"41-1","Smash Out 2018 ","https://smash.gg/tournament/smash-out-2018/events/smash-ultimate-singles/brackets/436166/787474
"," srAk ",2,"Link"
"138535",41,2018-12-18,"41-2","Gwinett Brawl December 2018 ","https://smash.gg/tournament/gwinnet...bonus/events/smash-ultimate-singles/standings
"," Fatality ",5,"Link"
"138557",44,2018-12-19,"44-1","Ultimate Premiere ","https://smashbrosuae.challonge.com/UltimatePremiere
"," Fahad ",3,"Link"
"138698",56,2018-12-23,"56-1","Super Splat Bros. ","https://smash.gg/tournament/super-splat-bros-1/events/ultimate-singles/brackets/383616/726251
"," Fatality ",9,"Link"
"138709",56,2018-12-23,"56-2","DAT Monday Meltdown 153 ","https://datteam.challonge.com/dmm153
"," Yackabean ",4,"Link"
"138722",59,2018-12-24,"59-1","Delfino Maza Ultimate ",NA," Javi ",1,"Link"
"138729",62,2018-12-24,"62-1","Brutal Tournament: Grinch Edition ",NA," Sekai Doggo ",2,"Link"
"138731",62,2018-12-24,"62-1","Brutal Tournament: Grinch Edition ",NA," Rodnand ",4,"Link"
"138735",65,2018-12-24,"65-1","Kapow! Smash Volume 0 ","https://smash.gg/tournament/kapow-s...h-ultimate-singles-1v1/brackets/479993/840355
"," Lathology ",4,"Link"
"138768",68,2018-12-26,"68-1","Dreamhack Mumbai  ","https://www.ssbwiki.com/Tournament:DreamHack_Mumbai_2018
","	India Quaylectra	",5,"Link"
"138791",73,2018-12-27,"73-1","Wednesday Whiffs ","https://smash.gg/tournament/wednesd...nts/ultimate/brackets/456315/811581/standings
"," - sk92 ",5,"Link"
"138874",82,2018-12-30,"82-1","Midwest Mayhem Ultimate ","https://smash.gg/tournament/midwest-mayhem-ultimate/events/ultimate-singles/standings
"," RIN ",5,"Link"
"138979",95,2018-12-31,"95-1","Posada Ultimate ",NA," Bernie ",2,"Link"
"138985",97,2019-01-01,"97-1","Vivaldi Winter ","https://smash.gg/tournament/vivaldi-winter/events/ultimate-singles/brackets/466651/824541
"," Zorc ",4,"Link"
"139112",123,2019-01-04,"123-1","Hollywood Action Tuesdays 47  ","https://smash.gg/tournament/hollywood-action-tuesdays-47/events/ultimate-singles/standings
"," - Arrow ",5,"Link"
"139152",127,2019-01-05,"127-1","Nordic Rumble II ","https://smash.gg/tournament/nordic-rumble-ii/events/super-smash-bros-ultimate-singles/overview
"," ZartZu ",2,"Link"
"139203",132,2019-01-05,"132-2","SoCal Chronicles ","https://smash.gg/tournament/socal-chronicles-1/events/ultimate-singles/brackets/427685/777589
"," Rex ",9,"Link"
"139256",137,2019-01-06,"137-1","Sumabato SP 1 ","https://challonge.com/SumabatoSP1T
"," Tea ",2,"Link"
"139295",140,2019-01-06,"140-1","Valhalla II ","https://smash.gg/tournament/valhalla-ii/events/super-smash-bros-ultimate-singles/overview
"," Izaw ",9,"Link"
"139321",144,2019-01-06,"144-1","Smash Conference United ","https://smash.gg/tournament/smash-c...-bros-ultimate-singles/brackets/495224/858690
"," Salem ",3,"Link"
"139384",151,2019-01-07,"151-1","Kaio Smash Series - Etape #1 ",NA," Otakuni ",4,"Link"
"139425",162,2019-01-09,"162-1","Royalty 2 ",NA," LinkEA ",1,"Link"
"139537",178,2019-01-12,"178-1","Umebura SP 2 ","https://smash.gg/tournament/umebura-sp2/events/umebura-sp-singles/brackets/510462/876669
"," Lean ",7,"Link"
"139543",178,2019-01-12,"178-1","Umebura SP 2 ","https://smash.gg/tournament/umebura-sp2/events/umebura-sp-singles/brackets/510462/876669
"," T ",5,"Link"
"139544",178,2019-01-12,"178-1","Umebura SP 2 ","https://smash.gg/tournament/umebura-sp2/events/umebura-sp-singles/brackets/510462/876669
"," Nicorin ",5,"Link"
"139551",178,2019-01-12,"178-1","Umebura SP 2 ","https://smash.gg/tournament/umebura-sp2/events/umebura-sp-singles/brackets/510462/876669
"," Manzoku ",3,"Link"
"139573",178,2019-01-12,"178-2","Karisuma SP1 ","https://challonge.com/KarisumaSP1
"," Smasher ",7,"Link"
"139574",178,2019-01-12,"178-2","Karisuma SP1 ","https://challonge.com/KarisumaSP1
"," Asui ",7,"Link"
"139604",180,2019-01-12,"180-1","Calyptus Cup Ultimate ","https://smash.gg/tournament/calyptu...er-smash-bros-ultimate/brackets/500530/865203
"," Sillintor ",2,"Link"
"139669",185,2019-01-13,"185-1","TGC Returns ",NA," DuoTheFighter ",3,"Link"
"139760",195,2019-01-13,"195-1","Smash N' Grab ","https://smash.gg/tournament/smash-n-grab/events/smash-n-grab-singles/overview
"," Da_Realyst_Dogg ",3,"Link"
"139820",201,2019-01-14,"201-2",NA,"https://imgur.com/a/TKN9s8G
"," - ",1,"Link"
"139837",201,2019-01-14,"201-4",NA,NA," - ",1,"Link"
"139876",209,2019-01-16,"209-1","Mega Smash Mondays 172 ","https://smash.gg/tournament/mega-smash-mondays-172/events/ultimate-singles/standings
"," Arrow ",9,"Link"
"139955",223,2019-01-17,"223-2","Nordic Rumble II ","https://smash.gg/tournament/nordic-...-bros-ultimate-singles/brackets/497178/861120
"," ZartZu ",2,"Link"
"139965",223,2019-01-17,"223-3","Ultimate Singles Kristineberg 1 ","https://shieldbreakers.challonge.com/USK1
"," Biscuit ",4,"Link"
"139972",223,2019-01-17,"223-4","SUN #1 ","https://challonge.com/ldtjyoog
"," Momow ",3,"Link"
"140020",229,2019-01-18,"229-1",NA,"https://smash.gg/tournament/milton-...vents/ultimate-singles/brackets/488784/851033
"," Orange ",3,"Link"
"140125",245,2019-01-19,"245-1","The Journey 1 ",NA," LinkEA ",1,"Link"
"140133",246,2019-01-20,"246-1","Frosty Faustings XI ","https://smash.gg/tournament/frosty-faustings-xi/events/super-smash-bros-ultimate/standings
"," RIN ",5,"Link"
"140200",246,2019-01-20,"246-7","Revenge of the 6ix: The Moon Strikes Back ","https://smash.gg/tournament/revenge...vents/ultimate-singles/brackets/503199/868398
"," Orange ",7,"Link"
"140243",252,2019-01-20,"252-1","Glitch 6 ","https://smash.gg/tournament/glitch-6/events/singles-1/brackets/451610/805688
"," Salem ",7,"Link"
"140307",253,2019-01-20,"253-1","Glitch 6 ","https://smash.gg/tournament/glitch-6/events/singles-1/brackets/451610/805688
"," Salem ",7,"Link"
"140377",259,2019-01-20,"259-3","Frosty Faustings XI ","https://smash.gg/tournament/frosty-...er-smash-bros-ultimate/brackets/488810/851087
"," RIN ",5,"Link"
"140419",264,2019-01-21,"264-1","OVA XI: Factor Crema ","https://smash.gg/tournament/ova-xi-factor-crema-ft-nakat/events/ultimate-singles/standings
"," Javi ",1,"Link"
"140449",265,2019-01-21,"265-2","WLPC Smash Weeklies ","https://vegassmash.challonge.com/WLPCSW2/standings
"," JayJayJay ",4,"Link"
"140483",268,2019-01-23,"268-1","Toryumon Kiwami #5 ",NA," T ",3,"Link"
"140685",291,2019-01-27,"291-1","Foward Smash Weekly ","https://fsw.challonge.com/rzazzg5l
"," Rojan  ",4,"Link"
"140698",293,2019-01-28,"293-1","Smash Fest Ultimate ","https://smash.gg/tournament/smash-fest-ultimate/events/singles-ultimate/brackets/521271/890024
"," Javi ",1,"Link"
"140714",295,2019-01-28,"295-1","WLPC Smash Weeklies #5 ","https://vegassmash.challonge.com/WLPCSW5/standings
"," SK92 ",4,"Link"
"140719",296,2019-01-28,"296-1","Davis Lounge Colosseum #30 ","https://smash.gg/tournament/davis-l...is-6-edition/events/ultimate-singles/overview
"," Soronie ",5,"Link"
"140768",302,2019-01-30,"302-1","Smash Ultimate på Work Work 1 ","https://smashtrondheim.challonge.com/SUWW1/standings
"," ",2,"Link"
"140776",306,2019-02-02,"306-1","Sumabato SP 2 ","https://challonge.com/SumabatoSP2T
"," T ",5,"Link"
"140816",307,2019-02-02,"307-2","BigWin Smash ","https://smash.gg/tournament/bigwinsmash-ultimate-showdown-2/events/ultimate-singles/standings
"," Bonboy ",9,"Link"
"140872",312,2019-02-03,"312-4","Wichita eSports Convention ",NA," RIN ",2,"Link"
"140891",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
","    Salem    ",3,"Link"
"140928",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
","    Sparg0    ",9,"Link"
"140973",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
"," Javi ",5,"Link"
"140980",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
"," Scizor ",7,"Link"
"141006",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
"," duothefighter",7,"Link"
"141019",316,2019-02-04,"316-1","Genesis 6 ",NA," Salem ",3,"Link"
"141177",343,2019-02-10,"343-1","Heart of Battle ","https://smash.gg/tournament/heart-of-battle/events/ultimate-singles/brackets/510930/877254
"," Rex ",5,"Link"
"141225",380,2019-02-13,"380-1","Toryumon Kiwami #7 ","https://challonge.com/toryumon_kiwami_7
"," T ",1,"Link"
"141249",391,2019-02-15,"391-1","WANTED Saison 2, Chapitre 2: Les Fléaux d'Hyrule ",NA," VinS ",5,"Link"
"141342",453,2019-02-21,"453-1","Ultimate Shockwave 11 ",NA," JAMA ",5,"Link"
"141357",483,2019-02-23,"483-1","Scoville Showdown #1 ","https://smash.gg/tournament/scovill...-patro-past/events/ultimate-singles/standings
"," ",8,"Link"
"141398",492,2019-02-24,"492-1","Smashdown minor ",NA," Fishbait ",5,"Link"
"141417",496,2019-02-24,"496-1","Phoenix Blue 2 ","https://smash.gg/tournament/phoenix-blue-2/events/ultimate-singles/brackets/545332/922696
"," Izaw ",7,"Link"
"141526",501,2019-02-25,"501-1","Frostbite 2019 ","https://smash.gg/tournament/frostbi...-bros-ultimate-singles/brackets/533725/906246
"," Ross ",5,"Link"
"141561",501,2019-02-25,"501-1","Frostbite 2019 ","https://smash.gg/tournament/frostbi...-bros-ultimate-singles/brackets/533725/906246
"," BLaP ",7,"Link"
"141563",505,2019-02-26,"505-1","Meltdown Paris W4 ","https://smash.gg/tournament/meltdown-paris-w4/events/1vs1/brackets/536770/912532/standings
","  ",1,"Link"
"141575",523,2019-03-01,"523-1","Weekly Smash Party #25 ",NA," T ",2,"Link"
"141587",534,2019-03-02,"534-1","Raceway Friday #6 ","https://smash.gg/tournament/raceway-friday-6/events/smash-ultimate-singles/standings
"," Sosa ",3,"Link"
"141639",554,2019-03-04,"554-1","Ultimate Nimbus ","https://smash.gg/tournament/2gg-x-m...vents/ultimate-singles/brackets/515221/882391
"," Scizor ",3,"Link"
"141672",558,2019-03-04,"558-1","No John's 19 ",NA," Triple ",7,"Link"
"141681",559,2019-03-04,"559-1","Lantrek 2019 ","https://smash.gg/tournament/lantrek-2019/events/ultimate-singles/standings
"," ZartZu ",7,"Link"
"141688",562,2019-03-04,"562-1","Empire Play ","https://smash.gg/tournament/empire-play/events/smashgt/brackets/550338/929227
"," Coki ",5,"Link"
"141717",569,2019-03-05,"569-1","Phoenix Blue 2 ",NA," IzAw ",7,"Link"
"141728",592,2019-03-08,"592-1","Neokan Ultimate Weekly #13 ","https://smash.gg/tournament/neokan-...ash-ultimate/brackets/551030/930174/standings
"," ",1,"Link"
"141734",595,2019-03-09,"595-1","Weekly smash Party #27 ",NA," T ",2,"Link"
"141834",685,2019-03-16,"685-1","HTS Ultimate ","https://smash.gg/tournament/hts-ultimate-2/events/ultimate-singles/brackets/531814/903398
"," Sillintor ",1,"Link"
"141940",700,2019-03-18,"700-1","Esports Arena Smash Ultimate Tournament ","https://smash.gg/tournament/esports...ressive/events/singles/brackets/558899/940146
"," Scizor ",7,"Link"
"141941",700,2019-03-18,"700-1","Esports Arena Smash Ultimate Tournament ","https://smash.gg/tournament/esports...ressive/events/singles/brackets/558899/940146
"," Arrow ",7,"Link"
